idx,lr,epochs,dropout,layers,neurons,test_rmse,test_mae,test_r2
268,0.0005,100,0.5,3,50,1.129215071,0.975738645,-2.121009464
224,0.0005,50,0.2,5,100,1.150033165,0.976742178,-2.254091511
160,0.001,50,0.5,3,50,1.134277387,0.97971952,-2.157443
234,0.0005,50,0.5,5,20,1.172119988,1.025414199,-2.796041683
279,0.0005,100,0.7,3,20,1.211394713,1.060919285,-2.609202761
223,0.0005,50,0.2,5,50,1.266849444,1.123123646,-2.929931787
175,0.001,50,0.7,5,50,1.421539349,1.273232996,-3.948810051
251,0.0005,50,0.7,7,100,1.452227677,1.306896031,-4.359602374
171,0.001,50,0.7,3,20,1.485628679,1.361056566,-4.407062335
146,0.001,50,0.2,2,100,1.79203973,1.453886852,-10.31517369
232,0.0005,50,0.5,3,50,1.576844959,1.465919435,-5.234201806
235,0.0005,50,0.5,5,50,1.755886734,1.637106538,-6.565474579
236,0.0005,50,0.5,5,100,1.824865142,1.710991561,-7.151256347
231,0.0005,50,0.5,3,20,1.80909236,1.711040318,-7.022662196
27,0.01,50,0.7,3,20,2.111621543,1.95614253,-15.65001725
246,0.0005,50,0.7,5,20,2.077631894,1.968355834,-10.66974997
252,0.0005,100,0.2,2,20,2.21416266,2.095315918,-17.42518493
116,0.005,100,0.2,5,100,2.235780132,2.138075203,-18.31260452
112,0.005,100,0.2,3,50,2.233415196,2.141657382,-18.47442595
23,0.01,50,0.5,7,100,2.243114788,2.141744375,-17.20222969
100,0.005,50,0.7,3,50,2.246640068,2.14251484,-17.17132037
157,0.001,50,0.5,2,50,2.237140703,2.146961257,-17.84329251
192,0.001,100,0.5,2,20,2.244942477,2.149068177,-18.70028881
88,0.005,50,0.5,3,50,2.2469211,2.149680242,-17.33595647
109,0.005,100,0.2,2,50,2.239883709,2.151653856,-18.37340165
265,0.0005,100,0.5,2,50,2.243882264,2.151980057,-17.16788647
149,0.001,50,0.2,3,100,2.260727287,2.153096944,-17.84971412
0,0.01,50,0.2,2,20,2.255470325,2.153540611,-18.48116442
124,0.005,100,0.5,3,50,2.260430041,2.154273331,-18.52536787
132,0.005,100,0.7,2,20,2.254915159,2.157451868,-17.74321039
254,0.0005,100,0.2,2,100,2.240172144,2.158992156,-18.27619798
182,0.001,100,0.2,2,100,2.431373042,2.161543429,-18.31031103
185,0.001,100,0.2,3,100,2.291625111,2.161868393,-17.97389362
136,0.005,100,0.7,3,50,2.263626266,2.162388667,-18.12313947
212,0.001,100,0.7,5,100,2.272512633,2.165603638,-17.71430573
55,0.01,100,0.5,5,50,2.268970844,2.170521587,-17.32779765
108,0.005,100,0.2,2,20,2.269335,2.171031713,-18.67055378
145,0.001,50,0.2,2,50,2.344670446,2.174129963,-19.35908782
266,0.0005,100,0.5,2,100,2.291694033,2.178914249,-16.72509761
174,0.001,50,0.7,5,20,2.324784742,2.215718567,-17.55640797
193,0.001,100,0.5,2,50,2.337643454,2.219570696,-18.40507854
161,0.001,50,0.5,3,100,2.45474653,2.335507661,-17.22862097
172,0.001,50,0.7,3,50,2.620356719,2.530717909,-20.00875014
281,0.0005,100,0.7,3,100,3.011834095,2.932661414,-23.4051943
218,0.0005,50,0.2,2,100,3.30289149,2.946576118,-26.51185248
247,0.0005,50,0.7,5,50,3.037407208,2.955904007,-21.69451504
243,0.0005,50,0.7,3,20,3.380682264,3.280580044,-27.25585425
280,0.0005,100,0.7,3,50,3.404745674,3.333304286,-27.83931739
284,0.0005,100,0.7,5,100,3.40728682,3.340779424,-28.01485195
217,0.0005,50,0.2,2,50,3.80925874,3.71163547,-34.56487518
144,0.001,50,0.2,2,20,4.378865672,3.761605144,-46.67988702
230,0.0005,50,0.5,2,100,3.86250359,3.795464635,-35.51652719
170,0.001,50,0.7,2,100,3.870243231,3.808689117,-35.73454767
194,0.001,100,0.5,2,100,3.870405729,3.809378743,-35.87207267
169,0.001,50,0.7,2,50,3.871306261,3.813887954,-35.69111967
156,0.001,50,0.5,2,20,3.872574175,3.815063357,-35.76466932
12,0.01,50,0.5,2,20,3.875187423,3.819777608,-35.76460376
276,0.0005,100,0.7,2,20,3.875525117,3.821023822,-35.94951869
205,0.001,100,0.7,2,50,3.87709803,3.822163582,-35.87511141
204,0.001,100,0.7,2,20,3.876517436,3.822438478,-35.8336272
228,0.0005,50,0.5,2,20,3.876887292,3.822568774,-35.81199603
209,0.001,100,0.7,3,100,3.876587818,3.822618604,-35.83206332
245,0.0005,50,0.7,3,100,3.876977952,3.823462129,-35.85561726
24,0.01,50,0.7,2,20,3.878148407,3.824444532,-35.80848402
25,0.01,50,0.7,2,50,3.878229855,3.824499965,-35.85156441
101,0.005,50,0.7,3,100,3.877520776,3.824519038,-35.86094201
84,0.005,50,0.5,2,20,3.878162097,3.82453692,-35.87567455
97,0.005,50,0.7,2,50,3.878345505,3.824566483,-35.8833493
120,0.005,100,0.5,2,20,3.878215348,3.824728012,-35.86099127
48,0.01,100,0.5,2,20,3.878395545,3.824882507,-35.81309092
64,0.01,100,0.7,3,50,3.878092695,3.825099349,-35.85062925
277,0.0005,100,0.7,2,50,3.878291007,3.825256109,-35.82603255
133,0.005,100,0.7,2,50,3.878452744,3.825311065,-35.930119
128,0.005,100,0.5,5,100,3.878313761,3.825314403,-35.84133689
140,0.005,100,0.7,5,100,3.878283598,3.825405955,-36.01103953
44,0.01,100,0.2,5,100,3.878464361,3.82546854,-35.84658888
71,0.01,100,0.7,7,100,3.878457233,3.825474977,-35.86591913
92,0.005,50,0.5,5,100,3.878528673,3.825521946,-35.86072454
98,0.005,50,0.7,2,100,3.87844371,3.825523853,-35.99128349
4,0.01,50,0.2,3,50,3.878634684,3.825556636,-35.82450545
41,0.01,100,0.2,3,100,3.878404163,3.825558066,-36.2300088
