idx,lr,n_estimators,max_depth,fit_time,score_time,test_root_mean_squared_error,test_mean_absolute_error,test_r2_score
20.0,0.5,100.0,3.0,0.8626194477081299,0.0010010719299316407,1.2610701919505973,1.5902980290263167,0.021005536699124062
21.0,0.5,100.0,4.0,1.1271561145782472,0.0012012004852294921,1.2780054092981787,1.6332978261954054,0.008918907702428602
22.0,0.5,100.0,5.0,1.3602442741394043,0.0012010097503662109,1.312746973790726,1.7233046171967092,-0.049454231706742104
23.0,0.5,100.0,10.0,2.467544746398926,0.002602243423461914,1.2886764506792407,1.6606869945352458,-0.003921546984274826
24.0,0.5,200.0,1.0,0.6066493988037109,0.0008661746978759766,1.2195983861067554,1.4874202233942022,0.09165621795984555
25.0,0.5,200.0,2.0,1.1630519390106202,0.0006006240844726562,1.2416954315181346,1.5418075446530062,0.06241619696895022
26.0,0.5,200.0,3.0,1.680658483505249,0.0009994983673095703,1.2628824337131754,1.594872041381313,0.01782994589859597
27.0,0.5,200.0,4.0,2.2229650020599365,0.0016013145446777343,1.2781038214292677,1.6335493783520973,0.008762923199722338
28.0,0.5,200.0,5.0,2.7165760517120363,0.0020017623901367188,1.3128804715961824,1.7236551326986145,-0.04964231887686173
29.0,0.5,200.0,10.0,4.983057355880737,0.004404115676879883,1.2886764518870595,1.6606869976482206,-0.0039215470725632254
30.0,0.5,500.0,1.0,1.5125888347625733,0.0009919166564941405,1.2454793426205684,1.5512187928945633,0.052521795782889624
31.0,0.5,500.0,2.0,2.926567220687866,0.0018016338348388673,1.25116392058313,1.5654111561689485,0.0470507729276338
32.0,0.5,500.0,3.0,4.55500340461731,0.002402210235595703,1.264545577198046,1.5990755168111392,0.01515265918055304
33.0,0.5,500.0,4.0,5.811780023574829,0.0030027389526367187,1.2781120655322584,1.633570452059136,0.008763999652325572
34.0,0.5,500.0,5.0,6.964814329147339,0.004003667831420898,1.3128849510067842,1.7236668945800862,-0.049653219929186275
35.0,0.5,500.0,10.0,6.535963630676269,0.005204629898071289,1.2886764518870595,1.6606869976482208,-0.0039215470725659785
36.0,0.5,1000.0,1.0,3.061758852005005,0.0022018909454345702,1.2613232464842257,1.5909363321215064,0.027244094508837823
37.0,0.5,1000.0,2.0,5.880585432052612,0.0030025482177734376,1.2544769971605898,1.5737125364050502,0.04179474140304036
38.0,0.5,1000.0,3.0,8.46682629585266,0.0040034294128417965,1.2644972376712411,1.5989532640781992,0.015223154004655414
39.0,0.5,1000.0,4.0,11.058176708221435,0.005805301666259766,1.2781088440031358,1.633562217119032,0.00876862912068659
40.0,0.5,1000.0,5.0,13.539185428619385,0.007204389572143555,1.3128849562105576,1.7236669082439975,-0.049653222327685896
41.0,0.5,1000.0,10.0,6.397221899032592,0.005605030059814453,1.2886764518870595,1.6606869976482208,-0.0039215470725659785
42.0,0.1,1.0,1.0,0.0038033485412597655,0.0004000663757324219,1.2846524862888067,1.6503320105280124,0.010951550061393745
43.0,0.1,1.0,2.0,0.007406282424926758,0.0008010387420654297,1.27178203728665,1.617429550364982,0.03016939668153138
44.0,0.1,1.0,3.0,0.010609769821166992,0.0008002758026123047,1.2716762707048426,1.6171605374737763,0.02881707269509721
45.0,0.1,1.0,4.0,0.011810970306396485,0.0002002716064453125,1.2734067287535658,1.6215646968348572,0.026856036764418854
46.0,0.1,1.0,5.0,0.013812923431396484,0.0006002426147460937,1.27326270834361,1.6211979244585053,0.027528797124929904
47.0,0.1,1.0,10.0,0.024021339416503907,0.00040073394775390624,1.2661450242687882,1.6031232224806105,0.03929999018417087
48.0,0.1,10.0,1.0,0.030428218841552734,0.00020012855529785156,1.2340754808081067,1.5229422923317597,0.08636035722513684
