idx,C,gamma,fit_time,score_time,test_root_mean_squared_error,test_mean_absolute_error,test_r2_score,max_features,n_estimators
18.0,,,0.012811422348022461,0.0006005764007568359,0.7603745219363021,0.5781694136098599,-0.4662793435910343,19.0,1.0
19.0,,,0.013411331176757812,0.00040044784545898435,0.7489282533742401,0.5608935287021899,-0.42016924080340756,20.0,1.0
20.0,,,0.014011621475219727,0.0008014678955078125,0.7701190243078329,0.5930833116008484,-0.5024619564474466,21.0,1.0
21.0,,,0.0142120361328125,0.0008006095886230469,0.7551321479701929,0.5702245608980774,-0.4442317381492857,22.0,1.0
22.0,,,0.015213203430175782,0.0008008003234863282,0.7420681303947381,0.5506651101475419,-0.39546742695154735,23.0,1.0
23.0,,,0.015213489532470703,0.0006006717681884766,0.7457049396689946,0.556075857046739,-0.40828681041967874,24.0,1.0
24.0,,,0.01801581382751465,0.0008006572723388671,0.7382910164877124,0.5450736250264596,-0.3794543925905256,25.0,1.0
25.0,,,0.016614866256713868,0.0004004955291748047,0.7574198991916372,0.5736849036914698,-0.4557966268078476,26.0,1.0
26.0,,,0.017014503479003906,0.0006007671356201172,0.7399567049401392,0.5475359251858682,-0.38845370616828573,27.0,1.0
27.0,,,0.017415618896484374,0.0008009910583496094,0.7657407931800775,0.5863589623400541,-0.4854469509923979,28.0,1.0
28.0,,,0.019217205047607423,0.0012011051177978516,0.5721965915470675,0.32740893937808163,0.1704704630363874,1.0,10.0
29.0,,,0.02762455940246582,0.001801443099975586,0.5659378436586164,0.32028564288496464,0.1886213623938195,2.0,10.0
30.0,,,0.031428194046020506,0.0014015674591064454,0.5603976146824398,0.31404548654176817,0.20414346643412484,3.0,10.0
31.0,,,0.0350306510925293,0.0016013145446777343,0.5585468601785025,0.3119745950152636,0.20932202726196536,4.0,10.0
32.0,,,0.04163627624511719,0.0018016815185546875,0.5624036888411794,0.31629790922216616,0.1980613269483363,5.0,10.0
33.0,,,0.050243711471557616,0.001401376724243164,0.5608896389059045,0.31459718703199596,0.2030677021520007,6.0,10.0
34.0,,,0.052647638320922854,0.0016013622283935548,0.5622100183542259,0.3160801047378591,0.19857528042481926,7.0,10.0
35.0,,,0.061455488204956055,0.0016012191772460938,0.5564439692598793,0.30962989092568943,0.21524504588816112,8.0,10.0
36.0,,,0.06405773162841796,0.0020018577575683593,0.5543478955812101,0.3073015893353162,0.22120882808204928,9.0,10.0
37.0,,,0.06926407814025878,0.0016015529632568359,0.5485791926373644,0.3009391305946626,0.23768377636832644,10.0,10.0
38.0,,,0.07546849250793457,0.0018014907836914062,0.5596567199950329,0.31321564423559867,0.20622014359585136,11.0,10.0
39.0,,,0.08047261238098144,0.0016015052795410156,0.5543772367251414,0.3073341205990035,0.22095279475025284,12.0,10.0
40.0,,,0.08787846565246582,0.0020019054412841798,0.554859666680793,0.30786924970912066,0.21989917385709895,13.0,10.0
41.0,,,0.09528813362121583,0.0014013290405273438,0.5509866400442262,0.30358627750722567,0.23069462512882577,14.0,10.0
42.0,,,0.09668755531311035,0.0014014244079589844,0.552410874010771,0.305157773725344,0.22738613205526947,15.0,10.0
43.0,,,0.10419888496398926,0.0018016815185546875,0.5581840480987869,0.31156943155194883,0.20999276993002555,16.0,10.0
44.0,,,0.11130080223083497,0.0020018577575683593,0.5599376362861308,0.31353015652969934,0.20553659000507007,17.0,10.0
45.0,,,0.11618256568908691,0.002001667022705078,0.5603703324151995,0.31401490945112115,0.20416840186541538,18.0,10.0
46.0,,,0.1219102382659912,0.0014012813568115234,0.5498848539775321,0.3023733526338917,0.2342068060842352,19.0,10.0
47.0,,,0.12611374855041504,0.0016014575958251953,0.5534186808409585,0.30627223630374667,0.22374430565312112,20.0,10.0
48.0,,,0.1295175075531006,0.0020018577575683593,0.5589804753908232,0.3124591718681507,0.20872986029920843,21.0,10.0
49.0,,,0.14312958717346191,0.0016013145446777343,0.5588576862139323,0.31232191344039,0.2079320656188563,22.0,10.0
50.0,,,0.14573321342468262,0.0020020008087158203,0.5505557398289838,0.30311162265863967,0.23193748494540686,23.0,10.0
51.0,,,0.1509873867034912,0.0020021438598632813,0.5598760206123935,0.31346115845676925,0.20612534365523505,24.0,10.0
52.0,,,0.15659074783325194,0.0015998363494873046,0.552893792370062,0.30569154564134926,0.2251156095049578,25.0,10.0
53.0,,,0.1581584930419922,0.0018018722534179688,0.5620210350492529,0.31586764383783356,0.1994879493006698,26.0,10.0
54.0,,,0.16340265274047852,0.001401233673095703,0.5554245912992853,0.30849647661997814,0.21775221731349198,27.0,10.0
55.0,,,0.1773977756500244,0.001801776885986328,0.5507033302731928,0.3032741579739854,0.23111328578573445,28.0,10.0
56.0,,,0.09201922416687011,0.006774187088012695,0.5514894860029018,0.3041406531717449,0.22952986995600305,1.0,50.0
57.0,,,0.1198305606842041,0.006358575820922851,0.5443144013826714,0.29627816755257586,0.2496376451625058,2.0,50.0
58.0,,,0.15036721229553224,0.005940961837768555,0.5391490398135159,0.2906816871318361,0.2636954366703108,3.0,50.0
59.0,,,0.17736430168151857,0.005393505096435547,0.5392936919173333,0.2908376861418277,0.26355753978528335,4.0,50.0
60.0,,,0.2139833927154541,0.005604743957519531,0.5331856639354527,0.2842869522262895,0.2800012368873529,5.0,50.0
61.0,,,0.25212736129760743,0.006606435775756836,0.5361713830756484,0.28747975202925363,0.27138023718638127,6.0,50.0
62.0,,,0.2751314163208008,0.005605316162109375,0.5362074336644146,0.2875184119169775,0.27165821155389,7.0,50.0
63.0,,,0.292665433883667,0.005605030059814453,0.5338338717265071,0.28497860260251284,0.27784255271150415,8.0,50.0
64.0,,,0.3226926803588867,0.005204629898071289,0.5322142120856747,0.2832519675459755,0.28218042676760985,9.0,50.0
65.0,,,0.35896916389465333,0.005604982376098633,0.5375494938543597,0.28895945834307823,0.2676629945053621,10.0,50.0
66.0,,,0.3833477020263672,0.005605030059814453,0.5343689404947366,0.2855501645654674,0.27637675947582185,11.0,50.0
67.0,,,0.42618708610534667,0.005805349349975586,0.5347949306992693,0.28600561790163626,0.2755385845388182,12.0,50.0
68.0,,,0.4402629852294922,0.005604887008666992,0.5346534926939832,0.2858543572498752,0.27539105082058374,13.0,50.0
69.0,,,0.47783374786376953,0.005804920196533203,0.53428982539734,0.28546561752312016,0.2765999944080956,14.0,50.0
70.0,,,0.4918494701385498,0.005404996871948242,0.5315914890720262,0.28258951125381415,0.2836003353959903,15.0,50.0
71.0,,,0.52478928565979,0.005805063247680664,0.5332928666715343,0.2844012816427428,0.2793752655996243,16.0,50.0
72.0,,,0.5628716468811035,0.00600128173828125,0.5365585441907662,0.28789507134411446,0.27045487296620147,17.0,50.0
73.0,,,0.6001132488250732,0.005509471893310547,0.534606241434304,0.2858038333805134,0.27578765388357207,18.0,50.0
74.0,,,0.6216875553131104,0.005425262451171875,0.5364822447305204,0.28781319891109797,0.27080887625329164,19.0,50.0
75.0,,,0.6382684707641602,0.005507755279541016,0.534399205690348,0.2855825110424749,0.2761726813301181,20.0,50.0
76.0,,,0.6835253238677979,0.005604982376098633,0.5368392974827165,0.28819643132173656,0.2699431879810338,21.0,50.0
