idx,lr,n_estimators,max_depth,fit_time,score_time,test_root_mean_squared_error,test_mean_absolute_error,test_r2_score,eta,min_child_weight,subsample
,,,4,51.29768858,0.03519907,160.0501789,25616.05977,0.584563061,0.1,5,0.7
,,,4,55.76603503,0.041602468,160.0637568,25620.40625,0.584522552,0.05,5,1
,,,6,78.22798572,0.050999975,160.0541815,25617.34102,0.584514366,0.05,3,0.6
,,,6,78.41960964,0.052799988,160.0744126,25623.81758,0.584433398,0.05,1,0.6
,,,4,56.25847235,0.037401199,160.121259,25638.81758,0.584244756,0.05,4,1
,,,6,75.83059068,0.04220376,160.1165884,25637.32188,0.584241987,0.05,5,0.6
,,,6,86.08308611,0.047000074,160.1916991,25661.38047,0.583842521,0.05,5,1
,,,4,55.08173103,0.051002216,160.2041983,25665.38516,0.583826934,0.1,1,0.9
,,,4,55.57793512,0.04060216,160.2061843,25666.02148,0.583781142,0.1,4,1
,,,4,55.24759874,0.035002613,160.2246506,25671.93867,0.583767181,0.1,5,0.9
,,,8,116.1468104,0.076602602,160.2370534,25675.91328,0.583587517,0.05,2,0.7
,,,10,178.3131787,0.119799614,160.2518684,25680.66133,0.583535813,0.01,4,0.9
,,,10,172.1476025,0.116801453,160.2778069,25688.97539,0.583398286,0.01,5,0.9
,,,4,53.05495787,0.031202412,160.3189606,25702.16914,0.583223785,0.1,1,0.8
,,,6,92.36531839,0.041600704,160.3277259,25704.97969,0.583158287,0.05,4,1
,,,4,50.17270331,0.036403465,160.3231917,25703.52578,0.583146458,0.1,2,0.7
,,,10,177.7145841,0.107401514,160.3303024,25705.80586,0.583132962,0.01,1,0.9
,,,4,52.62077341,0.041201115,160.342541,25709.73047,0.583128468,0.1,3,0.8
,,,6,93.87546606,0.04820137,160.3437811,25710.12813,0.583046842,0.01,5,1
,,,8,123.3462656,0.070800924,160.3462879,25710.93203,0.583010069,0.05,1,0.8
,,,6,95.41142411,0.046799946,160.3646151,25716.80977,0.582939296,0.01,4,1
,,,4,55.22319694,0.036402035,160.3783174,25721.20469,0.582918863,0.1,4,0.9
,,,10,173.9798194,0.131607103,160.3818296,25722.33125,0.582854904,0.01,3,0.9
,,,10,182.0103978,0.104201221,160.4405909,25741.1832,0.582551522,0.01,2,0.9
,,,8,123.3955735,0.072800827,160.4409902,25741.31133,0.582534981,0.05,1,0.9
,,,8,118.3805449,0.08840127,160.4457012,25742.82305,0.582458832,0.05,1,0.7
,,,8,120.5745446,0.06619997,160.4560834,25746.15469,0.582439618,0.05,5,0.9
,,,6,96.45027137,0.05160141,160.5134352,25764.56289,0.582176728,0.01,1,1
,,,6,95.95680709,0.042802763,160.5178023,25765.96484,0.582150855,0.01,3,1
,,,4,50.49548473,0.037599993,160.5117317,25764.01602,0.582129303,0.1,4,0.7
,,,6,88.591435,0.051003456,160.5306338,25770.08438,0.582095756,0.05,3,1
,,,8,114.0609911,0.079205513,160.5202346,25766.7457,0.582092786,0.05,5,0.7
,,,8,133.7112766,0.061600733,160.5373971,25772.25586,0.582050533,0.01,5,1
,,,4,55.01039324,0.032200336,160.5497027,25776.20703,0.58202199,0.1,5,1
,,,8,119.8069434,0.05820365,160.5531965,25777.32891,0.581999338,0.05,3,0.8
,,,4,55.95590897,0.030601311,160.5606985,25779.73789,0.581993908,0.1,1,1
,,,4,55.32633247,0.036800766,160.5562012,25778.29375,0.581983462,0.1,2,1
,,,8,118.9417692,0.075998306,160.5520761,25776.96914,0.581982428,0.05,4,0.8
,,,6,94.31614194,0.054401779,160.5521138,25776.98125,0.581972039,0.01,2,1
,,,8,115.0917168,0.062201786,160.5602107,25779.58125,0.581899374,0.05,4,0.7
,,,4,52.25199013,0.038400459,160.5842786,25787.31055,0.581862641,0.1,1,0.7
,,,8,126.6215744,0.058998966,160.5900777,25789.17305,0.581787768,0.05,2,0.9
,,,4,53.98523197,0.041601515,160.6047689,25793.8918,0.581740903,0.1,5,0.8
,,,4,52.61942892,0.041000557,160.6507397,25808.66016,0.581464897,0.1,4,0.8
,,,6,88.00583687,0.048202133,160.6565922,25810.54063,0.581452265,0.05,2,1
,,,4,56.09090681,0.039199352,160.6536173,25809.58477,0.581452009,0.1,3,1
,,,8,221.0344405,0.084000587,160.7011517,25824.86016,0.581210335,0.05,2,0.8
,,,8,121.531614,0.072401142,160.7207339,25831.1543,0.581088005,0.05,4,0.9
,,,6,88.20743418,0.047000837,160.7599785,25843.7707,0.580970032,0.05,1,1
,,,8,136.7209112,0.063601542,160.75681,25842.75195,0.580912283,0.01,3,1
,,,8,116.7154669,0.07100172,160.7549499,25842.15391,0.580910375,0.05,5,0.8
,,,8,137.4579277,0.068602419,160.7551916,25842.23164,0.580901547,0.01,4,1
,,,8,114.6718505,0.059903765,160.749644,25840.44805,0.580900127,0.05,1,0.6
,,,8,124.0804997,0.064999485,160.8002303,25856.71406,0.580715332,0.05,3,0.9
,,,8,112.0557746,0.080200195,160.8202813,25863.16289,0.580583624,0.05,3,0.6
,,,8,110.7871862,0.073600674,160.8184669,25862.5793,0.580496353,0.05,4,0.6
,,,4,51.04042153,0.027199221,160.8557001,25874.55625,0.580323648,0.1,3,0.7
,,,8,111.0917279,0.07240448,160.8543814,25874.13203,0.580320813,0.05,2,0.6
,,,8,108.3490991,0.057601357,160.8700939,25879.18711,0.580253615,0.05,5,0.6
,,,8,171.8665359,0.0797997,160.8957798,25887.45195,0.580203272,0.01,2,1
,,,10,169.3337237,0.113202095,160.948627,25904.46055,0.579866276,0.05,4,0.7
,,,6,85.52512898,0.040799809,160.9871622,25916.86641,0.579707898,0.1,5,0.9
,,,4,50.05148587,0.037200451,160.9987711,25920.6043,0.5796901,0.01,2,0.6
,,,4,49.6028749,0.028198719,160.9990647,25920.69883,0.579688213,0.01,3,0.6
,,,4,50.01104078,0.034202671,161.0057004,25922.83555,0.579654857,0.01,4,0.6
,,,4,50.32365508,0.035401249,161.0158765,25926.1125,0.579600008,0.01,1,0.6
,,,4,50.32074022,0.030400658,161.0198115,25927.37969,0.579577043,0.01,5,0.6
,,,8,136.808846,0.075601721,161.0319795,25931.29844,0.579478113,0.01,1,1
,,,6,83.6907063,0.047001123,161.0394628,25933.70859,0.579472747,0.1,2,0.8
,,,4,48.82811809,0.03640132,161.043983,25935.16445,0.579460282,0.1,3,0.6
,,,4,51.99566407,0.034600258,161.0483441,25936.56914,0.57942986,0.01,2,0.7
,,,4,52.49210134,0.027800751,161.0505477,25937.27891,0.579418498,0.01,1,0.7
,,,4,52.36804762,0.033002186,161.0701201,25943.58359,0.579318799,0.01,3,0.7
,,,10,151.5651368,0.096805,161.0616463,25940.85391,0.579299597,0.05,5,0.7
,,,4,52.36050115,0.03320055,161.0835248,25947.90195,0.579246762,0.01,4,0.7
,,,4,52.40810976,0.039803505,161.0836242,25947.93398,0.579243602,0.01,5,0.7
,,,10,153.7999077,0.093804121,161.1447816,25967.64063,0.578833399,0.05,3,0.7
,,,10,161.3712624,0.096000624,161.1585036,25972.06328,0.578774024,0.05,3,0.9
,,,4,48.75989137,0.0420012,161.1866518,25981.13672,0.578678091,0.1,4,0.6
,,,10,165.6203475,0.098801565,161.1816207,25979.51484,0.578668517,0.05,1,0.9
,,,4,49.30507069,0.031599808,161.2087144,25988.24961,0.578584115,0.1,1,0.6
,,,4,53.81881266,0.029801989,161.2234062,25992.98672,0.578526028,0.01,4,0.8
,,,4,55.18095469,0.036400747,161.2271544,25994.19531,0.578505228,0.01,5,0.8
,,,4,54.86368332,0.031801462,161.2339357,25996.38203,0.578473424,0.01,1,0.8
,,,4,54.69800873,0.032200861,161.2477374,26000.83281,0.578401797,0.01,3,0.8
,,,4,54.94060016,0.033600378,161.2511664,26001.93867,0.578383453,0.01,2,0.8
,,,4,49.83323693,0.034202194,161.2667239,26006.95625,0.578276908,0.1,5,0.6
,,,4,49.36491632,0.030601597,161.2749024,26009.59414,0.57827207,0.1,2,0.6
,,,8,124.3277455,0.068403721,161.2660288,26006.73203,0.578259516,0.05,4,1
,,,10,160.6280523,0.093402719,161.2768594,26010.22539,0.578217705,0.05,5,0.9
,,,8,121.0841634,0.061000347,161.2733886,26009.10586,0.578199397,0.05,5,1
,,,6,85.37812533,0.042200136,161.2943423,26015.86484,0.578093686,0.1,1,0.8
,,,10,160.6910465,0.100003242,161.3113861,26021.36328,0.578015742,0.05,4,0.8
,,,10,158.7357511,0.103601933,161.3168309,26023.11992,0.577996708,0.05,3,0.8
,,,6,87.49791141,0.047599697,161.3249983,26025.75508,0.577922281,0.1,4,0.9
,,,2,25.52599654,0.027801991,161.3578661,26036.36094,0.577783301,0.1,3,0.6
,,,2,28.08561583,0.02620101,161.3526914,26034.69102,0.577765862,0.2,5,1
,,,4,57.13278098,0.035200739,161.3728517,26041.19727,0.577746542,0.01,5,0.9
,,,4,62.85736794,0.035201168,161.3728832,26041.20742,0.577746148,0.01,3,0.9
,,,4,57.58818407,0.033603191,161.3819482,26044.1332,0.577693563,0.01,2,0.9
,,,10,155.1764781,0.098606443,161.3783356,26042.96719,0.577678691,0.05,5,0.8
,,,4,56.53180599,0.036002445,161.3867189,26045.67305,0.577670719,0.01,4,0.9
,,,10,196.6132096,0.10100379,161.3817207,26044.05977,0.577667508,0.05,2,0.9
,,,4,56.925073,0.041203308,161.3909752,26047.04688,0.577647819,0.01,1,0.9
,,,2,25.1533411,0.028001022,161.411737,26053.74883,0.577518999,0.1,4,0.6
,,,2,25.62299886,0.022801018,161.4155691,26054.98594,0.577482247,0.1,1,0.6
,,,2,27.76716342,0.025602961,161.4169497,26055.43164,0.577449614,0.2,4,1
,,,2,28.49928288,0.039403629,161.4191869,26056.15391,0.577425766,0.2,1,1
,,,2,24.82089152,0.031802654,161.4313201,26060.07109,0.577396575,0.1,2,0.6
,,,8,123.7273435,0.061201811,161.4704319,26072.70039,0.57725169,0.05,3,1
,,,2,25.46705914,0.029601049,161.4857555,26077.64922,0.577147849,0.1,5,0.6
,,,10,153.7149378,0.098801756,161.4892544,26078.7793,0.577088373,0.05,1,0.7
,,,2,25.65489793,0.027201271,161.4990845,26081.9543,0.577070285,0.1,2,0.7
,,,2,27.05060887,0.022397661,161.5139531,26086.75703,0.577000278,0.1,3,0.8
,,,6,87.96331382,0.05760107,161.4996299,26082.13047,0.576979581,0.1,1,0.9
,,,4,58.92280908,0.03440156,161.5246281,26090.20547,0.576927521,0.01,4,1
,,,2,27.63922405,0.030801582,161.5228481,26089.63047,0.576901326,0.2,2,1
,,,10,215.0921292,0.147015524,161.5160463,26087.4332,0.576896921,0.05,2,0.7
,,,4,57.56969085,0.028601646,161.534005,26093.23477,0.576882247,0.01,5,1
,,,6,85.16362796,0.046801186,161.5222048,26089.42266,0.576869483,0.1,3,0.8
,,,4,65.6040061,0.03400197,161.5388341,26094.79492,0.576856755,0.01,2,1
,,,2,27.77759204,0.03080349,161.539065,26094.86953,0.576804124,0.2,3,1
,,,10,163.7286299,0.098599672,161.5528044,26099.30859,0.576792295,0.05,4,0.9
,,,6,91.67631721,0.050602007,161.5570877,26100.69258,0.57675808,0.1,1,1
,,,2,25.89876866,0.027802277,161.5719219,26105.48594,0.57672067,0.1,3,0.7
,,,4,60.14991693,0.032201958,161.5691524,26104.59102,0.576698996,0.01,1,1
,,,4,58.30359569,0.030602264,161.5693555,26104.65664,0.576698675,0.01,3,1
,,,2,26.72549219,0.027001858,161.5809286,26108.39648,0.576655333,0.1,2,0.8
,,,10,187.0902449,0.130601978,161.5670575,26103.91406,0.576637636,0.05,2,0.8
,,,2,34.14979792,0.022403049,161.5874026,26110.48867,0.576610661,0.1,1,0.8
,,,2,26.64254928,0.024601889,161.599714,26114.46758,0.576566162,0.1,4,0.8
,,,2,26.40321865,0.023002863,161.6090661,26117.49023,0.576519705,0.1,5,0.7
,,,6,86.91902046,0.048200226,161.5937615,26112.54375,0.576493651,0.1,3,0.9
,,,8,126.5256141,0.069806147,161.6126627,26118.65273,0.576391424,0.05,1,1
,,,2,25.25540543,0.025202751,161.6181517,26120.42695,0.576368748,0.2,3,0.6
,,,10,160.7078547,0.093801117,161.605212,26116.24453,0.576343884,0.05,1,0.8
,,,2,27.46885109,0.024000072,161.6390848,26127.19375,0.576343046,0.1,2,0.9
,,,2,27.49995174,0.024802542,161.6468639,26129.70859,0.576283893,0.2,4,0.9
,,,2,27.59995379,0.027203465,161.6650533,26135.58945,0.576209959,0.1,4,0.9
,,,2,26.55880456,0.034200239,161.6674889,26136.37695,0.576199372,0.1,5,0.8
,,,8,155.7408909,0.091802931,161.6594426,26133.77539,0.576172567,0.05,2,1
,,,2,28.28967237,0.031799793,161.6763115,26139.22969,0.576141536,0.1,3,0.9
,,,2,25.80855865,0.033603525,161.6808597,26140.70039,0.576135039,0.1,4,0.7
,,,2,27.52531199,0.023802757,161.6736562,26138.37109,0.576093843,0.2,3,0.9
,,,2,36.25879245,0.034001541,161.68556,26142.22031,0.576089685,0.1,1,0.9
,,,6,82.03787031,0.060802174,161.6780559,26139.79375,0.57603095,0.1,5,0.8
,,,2,25.79079318,0.029403353,161.7046836,26148.40469,0.575915114,0.2,1,0.6
