idx,lr,n_estimators,max_depth,fit_time,score_time,test_root_mean_squared_error,test_mean_absolute_error,test_r2_score,eta,min_child_weight,subsample
,,,10.0,198.46387133598327,0.10800175666809082,163.69932541285868,26797.469140625,0.5653771406775331,0.1,2.0,0.8
,,,1.0,16.670204734802248,0.020400428771972658,176.57830570847315,31179.898046875,0.49452351744204287,0.01,5.0,0.4
,,,1.0,15.418396997451783,0.022201347351074218,171.03971464070852,29254.583984375,0.5256866265313371,0.02,5.0,0.4
,,,1.0,15.33020486831665,0.028400707244873046,167.85819443059668,28176.3734375,0.5431247790667214,0.1,5.0,0.4
,,,1.0,17.40119285583496,0.024603891372680663,176.8405344070612,31272.574609375,0.49302650355117433,0.01,5.0,0.6
,,,1.0,17.69599394798279,0.03420171737670898,171.23913400746045,29322.841015625,0.5245808544672856,0.02,5.0,0.6
,,,1.0,17.44440984725952,0.03680486679077148,167.80407683702146,28158.208203125,0.5434299103918179,0.1,5.0,0.6
,,,1.0,18.13081560134888,0.022201681137084962,177.03078607617942,31339.89921875,0.4919368465825742,0.01,5.0,0.8
,,,1.0,18.20059804916382,0.02060251235961914,171.34324445940376,29358.507421875,0.5240075977780332,0.02,5.0,0.8
,,,1.0,18.18059449195862,0.023401546478271484,168.04933473908787,28240.57890625,0.5420977611239726,0.1,5.0,0.8
,,,3.0,38.528396892547605,0.032602977752685544,163.25716389334957,26652.9015625,0.5678480653377056,0.01,5.0,0.4
,,,3.0,38.25479602813721,0.03540220260620117,161.49663672001037,26081.163671875,0.5770988238613216,0.02,5.0,0.4
,,,3.0,38.4775963306427,0.024801158905029298,160.66100642151784,25811.958984375,0.5814420291495987,0.1,5.0,0.4
,,,3.0,45.65480561256409,0.032602453231811525,163.45937473115453,26718.9671875,0.5667613061445661,0.01,5.0,0.6
,,,3.0,45.08559427261353,0.031001567840576172,161.66868246702884,26136.762890625,0.5761960388113115,0.02,5.0,0.6
,,,3.0,44.423798608779904,0.032603120803833006,160.11755081228603,25637.630078125,0.5842535676948055,0.1,5.0,0.6
,,,3.0,49.23039426803589,0.028603029251098634,163.6305635513274,26774.961328125,0.5658596434951138,0.01,5.0,0.8
,,,3.0,49.420871782302854,0.028803110122680664,161.82582264583115,26187.596875,0.5753849741135427,0.02,5.0,0.8
,,,3.0,48.38759551048279,0.031001567840576172,159.71513214939904,25508.9234375,0.5863645513463585,0.1,5.0,0.8
,,,6.0,81.32130842208862,0.05480060577392578,159.13585612025028,25324.220703125,0.5893416322242289,0.01,5.0,0.4
,,,6.0,79.4815932750702,0.047002124786376956,158.41283461852137,25094.626171875,0.593040163083036,0.02,5.0,0.4
,,,6.0,79.80899305343628,0.058001041412353516,164.3209048344884,27001.359765625,0.5621046393463621,0.1,5.0,0.4
,,,6.0,97.50846681594848,0.053403186798095706,159.3071559029129,25378.769921875,0.5884231136068951,0.01,5.0,0.6
,,,6.0,94.74666008949279,0.04979853630065918,158.45250915100712,25107.19765625,0.5928258841491276,0.02,5.0,0.6
,,,6.0,94.63748202323913,0.042796897888183597,161.76756087052806,26168.74375,0.5756589078145294,0.1,5.0,0.6
,,,6.0,107.55833392143249,0.07099804878234864,159.43387147968275,25419.159375,0.5877671515849759,0.01,5.0,0.8
,,,6.0,105.95842247009277,0.0597987174987793,158.65497894409114,25171.40234375,0.591783292740673,0.02,5.0,0.8
,,,6.0,103.30717544555664,0.054200935363769534,161.47361433063918,26073.728125,0.5770853205743349,0.1,5.0,0.8
,,,8.0,114.13004231452942,0.0823965072631836,158.81869699637068,25223.378515625,0.590991916422771,0.01,5.0,0.4
,,,8.0,112.31151986122131,0.08159594535827637,158.48398233338915,25117.17265625,0.5926726034217772,0.02,5.0,0.4
,,,8.0,114.2708749294281,0.07699809074401856,167.94714454070066,28206.243359375,0.5426342166921734,0.1,5.0,0.4
,,,8.0,138.75182156562806,0.07499661445617675,158.9948714286879,25279.369140625,0.5900568157775022,0.01,5.0,0.6
,,,8.0,134.74780268669127,0.07259316444396972,158.87237655190407,25240.43203125,0.5906454108510237,0.02,5.0,0.6
,,,8.0,139.5108992576599,0.07019319534301757,164.46657620167085,27049.2546875,0.5612564019165903,0.1,5.0,0.6
,,,8.0,152.42974157333373,0.08359751701354981,159.26433412726152,25365.128125,0.588639817888738,0.01,5.0,0.8
,,,8.0,145.54293975830078,0.07340002059936523,158.99270079550823,25278.67890625,0.5900245447683611,0.02,5.0,0.8
,,,8.0,143.66211318969727,0.0851980209350586,162.68489721314023,26466.37578125,0.5707036652182668,0.1,5.0,0.8
,,,10.0,149.7061547756195,0.09799761772155761,158.87105005908094,25240.010546875,0.5907063866797785,0.01,5.0,0.4
,,,10.0,146.20642347335814,0.1123995304107666,159.4072687920786,25410.67734375,0.5879652492204791,0.02,5.0,0.4
,,,10.0,151.5476875782013,0.0963982105255127,167.38731284060927,28018.5125,0.5455515492953051,0.1,5.0,0.4
,,,10.0,197.47741141319275,0.10799942016601563,159.04710387177755,25295.98125,0.5897868548855403,0.01,5.0,0.6
,,,10.0,196.96289319992064,0.11239819526672364,159.34864733109598,25391.99140625,0.5882339053228781,0.02,5.0,0.6
,,,10.0,183.09792337417602,0.08439521789550782,164.89750722986992,27191.187890625,0.5589608893277844,0.1,5.0,0.6
,,,10.0,209.6766348838806,0.11999897956848145,159.75166396825105,25520.594140625,0.5861337432381346,0.01,5.0,0.8
,,,10.0,198.08270902633666,0.10079874992370605,160.1457978296652,25646.6765625,0.5840439930110983,0.02,5.0,0.8
,,,10.0,196.45177812576293,0.10000138282775879,163.8914989787451,26860.4234375,0.5644373909648568,0.1,5.0,0.8
,,,1.0,16.507785940170287,0.019600820541381837,176.57830570847315,31179.898046875,0.49452351744204287,0.01,10.0,0.4
,,,1.0,15.543594408035279,0.022800970077514648,171.03971464070852,29254.583984375,0.5256866265313371,0.02,10.0,0.4
