WKT,fid,id,left,top,right,bottom,AGB
POINT (293561.8479 647790.5522),148,148,293561.8479,647790.5522,293861.8479,648090.5522,135
POINT (293561.8479 647490.5522),149,149,293561.8479,647490.5522,293861.8479,647790.5522,30
POINT (293561.8479 647190.5522),150,150,293561.8479,647190.5522,293861.8479,647490.5522,100
POINT (293561.8479 646890.5522),151,151,293561.8479,646890.5522,293861.8479,647190.5522,190
POINT (293561.8479 646590.5522),152,152,293561.8479,646590.5522,293861.8479,646890.5522,113
POINT (293561.8479 646290.5522),153,153,293561.8479,646290.5522,293861.8479,646590.5522,56
POINT (293561.8479 645990.5522),154,154,293561.8479,645990.5522,293861.8479,646290.5522,318
POINT (293561.8479 645690.5522),155,155,293561.8479,645690.5522,293861.8479,645990.5522,326
POINT (293561.8479 645390.5522),156,156,293561.8479,645390.5522,293861.8479,645690.5522,326
POINT (293561.8479 645090.5522),157,157,293561.8479,645090.5522,293861.8479,645390.5522,163
POINT (293561.8479 644790.5522),158,158,293561.8479,644790.5522,293861.8479,645090.5522,90
POINT (293561.8479 644490.5522),159,159,293561.8479,644490.5522,293861.8479,644790.5522,47
POINT (293561.8479 644190.5522),160,160,293561.8479,644190.5522,293861.8479,644490.5522,69
POINT (293561.8479 643890.5522),161,161,293561.8479,643890.5522,293861.8479,644190.5522,52
POINT (293561.8479 643590.5522),162,162,293561.8479,643590.5522,293861.8479,643890.5522,47
POINT (293561.8479 643290.5522),163,163,293561.8479,643290.5522,293861.8479,643590.5522,159
POINT (293561.8479 642990.5522),164,164,293561.8479,642990.5522,293861.8479,643290.5522,119
POINT (293561.8479 642690.5522),165,165,293561.8479,642690.5522,293861.8479,642990.5522,186
POINT (293561.8479 642390.5522),166,166,293561.8479,642390.5522,293861.8479,642690.5522,167
POINT (293561.8479 642090.5522),167,167,293561.8479,642090.5522,293861.8479,642390.5522,113
POINT (293561.8479 641790.5522),168,168,293561.8479,641790.5522,293861.8479,642090.5522,116
POINT (293561.8479 641490.5522),169,169,293561.8479,641490.5522,293861.8479,641790.5522,197
POINT (293561.8479 641190.5522),170,170,293561.8479,641190.5522,293861.8479,641490.5522,197
POINT (293561.8479 640890.5522),171,171,293561.8479,640890.5522,293861.8479,641190.5522,215
POINT (293561.8479 640590.5522),172,172,293561.8479,640590.5522,293861.8479,640890.5522,148
POINT (293561.8479 640290.5522),173,173,293561.8479,640290.5522,293861.8479,640590.5522,45
POINT (293561.8479 639990.5522),174,174,293561.8479,639990.5522,293861.8479,640290.5522,41
POINT (293561.8479 639690.5522),175,175,293561.8479,639690.5522,293861.8479,639990.5522,28
POINT (293561.8479 639390.5522),176,176,293561.8479,639390.5522,293861.8479,639690.5522,139
POINT (293561.8479 639090.5522),177,177,293561.8479,639090.5522,293861.8479,639390.5522,444
POINT (293561.8479 638790.5522),178,178,293561.8479,638790.5522,293861.8479,639090.5522,112
POINT (293561.8479 638490.5522),179,179,293561.8479,638490.5522,293861.8479,638790.5522,147
POINT (293561.8479 638190.5522),180,180,293561.8479,638190.5522,293861.8479,638490.5522,194
