fid,OBJECTID_1,OBJECTID,CATEGORY,IFT_IOA,COUNTRY,Shape_Leng,Area_ha,Shape__Are,Shape__Len
"654","21220","45567",Woodland,Assumed woodland,Scotland,291.322666736,0.50209387905,5020.93872070313,291.32266673375
"655","21226","45573",Woodland,Assumed woodland,Scotland,377.717962329,0.75290362515,7529.03622436523,377.717962330444
"656","21229","45576",Woodland,Assumed woodland,Scotland,19865.4801856,68.7897614099,687897.613494873,19865.4801856084
"657","21230","45577",Woodland,Assumed woodland,Scotland,706.119490879,1.8273576357,18273.5763549805,706.119490878871
"658","21235","45582",Woodland,Assumed woodland,Scotland,593.135494991,1.01389930005,10138.9929504395,593.135494988461
"659","21241","45588",Woodland,Assumed woodland,Scotland,448.629806684,1.2678504765,12678.5047912598,448.629806685263
"660","21246","45593",Woodland,Assumed woodland,Scotland,1593.16454131,4.19997555995,41999.7556610107,1593.16454131034
"661","21251","45598",Woodland,Assumed woodland,Scotland,570.102995993,1.00467354375,10046.7354431152,570.102995994343
"662","21257","45604",Woodland,Assumed woodland,Scotland,232.739300529,0.37095903525,3709.59033203125,232.739300528729
"663","21258","45605",Woodland,Assumed woodland,Scotland,816.479227637,2.9733940057,29733.9400482178,816.479227637249
"664","21262","45609",Woodland,Assumed woodland,Scotland,449.772512294,0.5568932977,5568.93298339844,449.772512293118
"665","21269","45616",Woodland,Assumed woodland,Scotland,610.583597084,1.5664920994,15664.9209747314,610.583597084038
"666","21271","45618",Woodland,Assumed woodland,Scotland,515.702755123,0.95543059045,9554.30583190918,515.702755123984
"667","21279","45626",Woodland,Assumed woodland,Scotland,1950.74858993,16.6232082533,166232.082565308,1950.74858993315
"668","21280","45627",Woodland,Assumed woodland,Scotland,1163.58692651,2.57459042915,25745.9043121338,1163.58692650987
"669","21291","45638",Woodland,Assumed woodland,Scotland,1224.80100251,2.63213073965,26321.3073730469,1224.80100251113
"670","21294","45641",Woodland,Assumed woodland,Scotland,777.528504593,1.15980932405,11598.0932617188,777.528504591609
"671","21295","45642",Woodland,Assumed woodland,Scotland,1209.16590954,3.76640519175,37664.0520172119,1209.16590953138
"672","21298","45645",Woodland,Assumed woodland,Scotland,633.779653345,1.1712550719,11712.5506286621,633.779653344029
"673","21300","45647",Woodland,Assumed woodland,Scotland,592.61194629,0.8759417985,8759.41801452637,592.611946290075
"674","21302","45649",Woodland,Assumed woodland,Scotland,134.017116243,0.10067007295,1006.70072937012,134.017116241735
"675","21303","45650",Woodland,Assumed woodland,Scotland,672.89541976,0.7657572283,7657.57231140137,672.895419759493
"676","21308","45655",Woodland,Assumed woodland,Scotland,4111.14771273,10.5558619386,105558.619354248,4111.14771273496
"677","21316","45663",Woodland,Assumed woodland,Scotland,640.624089418,0.74923938095,7492.39375305176,640.624089418201
"678","21321","45668",Woodland,Assumed woodland,Scotland,663.102637351,1.1229451435,11229.4513549805,663.057040093313
"679","21325","45672",Woodland,Assumed woodland,Scotland,300.310549161,0.3837557531,3837.55755615234,300.31054916182
"680","21326","45673",Woodland,Assumed woodland,Scotland,444.052347321,0.61408307125,6140.83070373535,444.052347321743
"681","21327","45674",Woodland,Assumed woodland,Scotland,334.316916523,0.33226015915,3322.60157775879,334.316916524978
"682","21332","45679",Woodland,Assumed woodland,Scotland,599.981026468,0.7948673633,7948.67364501953,599.981026467665
"683","21333","45680",Woodland,Assumed woodland,Scotland,571.171589721,0.7870391722,7870.39172363281,571.171589722091
"684","21343","45690",Woodland,Assumed woodland,Scotland,298.842033367,0.35957476435,3595.74766540527,298.842033366287
"685","21346","45693",Woodland,Assumed woodland,Scotland,962.519386699,1.68798722995,16879.8724060059,962.51938669812
"686","21352","45699",Woodland,Assumed woodland,Scotland,1884.86502175,12.3557201302,123557.201370239,1884.86502175725
"687","21354","45701",Woodland,Assumed woodland,Scotland,555.72741551,1.1192598924,11192.5988769531,555.727415511563
"688","21355","45702",Woodland,Assumed woodland,Scotland,284.633699671,0.50318383575,5031.83834838867,284.633699670591
"689","21359","45706",Woodland,Assumed woodland,Scotland,779.531861851,2.22027184105,22202.7183990479,779.531861850858
"690","21360","45707",Woodland,Assumed woodland,Scotland,654.117655981,0.762237878899,7622.37866210938,654.117655983766
"691","21362","45709",Woodland,Assumed woodland,Scotland,1195.18038596,2.81584666595,28158.4666442871,1195.18038596111
"692","21363","45710",Woodland,Assumed woodland,Scotland,300.983339004,0.3661465179,3661.46514892578,300.98333900372
"693","21364","45711",Woodland,Assumed woodland,Scotland,995.512221799,3.31150788135,33115.0788116455,995.51222179868
"694","21367","45714",Woodland,Assumed woodland,Scotland,187.533707233,0.1883688271,1883.68826293945,187.533707233381
"695","21375","45722",Woodland,Assumed woodland,Scotland,1330.35655019,5.04682042485,50468.204284668,1330.35655019182
"696","21378","45725",Woodland,Assumed woodland,Scotland,1267.82592066,3.3395947066,33395.9470062256,1267.82592066605
"697","21382","45729",Woodland,Assumed woodland,Scotland,687.927177561,1.6972179919,16972.1799316406,687.927177561414
"698","21386","45733",Woodland,Assumed woodland,Scotland,636.735265488,1.83344716155,18334.4715881348,636.735265487669
"699","21388","45735",Woodland,Assumed woodland,Scotland,1355.24130033,4.1052109526,41052.1094207764,1355.24130033454
"700","21389","45736",Woodland,Assumed woodland,Scotland,300.204461389,0.35600475145,3560.04753112793,300.204461387113
