fid,id,left,top,right,bottom,OC,BAND_11,BAND_12,BAND_2,BAND_3,BAND_4,BAND_5,BAND_6,BAND_7,BAND_8,BAND_8A,DEM_ELEV,DEM_CS,DEM_LSF,DEM_SLOPE,DEM_TWI
"3202","3202",13.79,46.7,13.81,46.72,39.1433334350586,0.0707023292779922,0.0292297713458538,0.0676660388708115,0.0550165474414825,0.0324290953576565,0.0543772876262665,0.141070917248726,0.173756584525108,0.170393243432045,0.181686043739319,1424.24365234375,1.57074630260468,36.9828453063965,89.998908996582,0
"3203","3203",13.79,46.68,13.81,46.7,39.5497779846191,0.119370028376579,0.0605694204568863,0.0790812745690346,0.0721916705369949,0.0494475066661835,0.073867566883564,0.170201733708382,0.203398331999779,0.227440372109413,0.245011761784554,1241.62829589844,1.57077360153198,36.972827911377,89.9991149902344,0
"3204","3204",13.79,46.66,13.81,46.68,39.8452186584473,0.420158684253693,0.309054404497147,0.23632487654686,0.262465178966522,0.298416882753372,0.329963713884354,0.397152602672577,0.435393035411835,0.383645951747894,0.447331011295319,687.630493164063,1.57073259353638,37.0943717956543,89.9961776733398,0
"3205","3205",13.79,46.64,13.81,46.66,40.0060958862305,0.143684417009354,0.0585574954748154,0.0757853388786316,0.0615813434123993,0.0362482815980911,0.0695299133658409,0.215696200728416,0.291764467954636,0.242859363555908,0.315360069274902,640.435363769531,1.5707403421402,36.9874458312988,89.9987564086914,0
"3206","3206",13.79,46.62,13.81,46.64,40.019905090332,0.115006618201733,0.049090351909399,0.0776955410838127,0.0669098347425461,0.0431097112596035,0.0784272477030754,0.172993063926697,0.207629844546318,0.195985898375511,0.228631660342216,681.652465820313,1.57056975364685,37.1215629577637,89.9950180053711,0
"3207","3207",13.79,46.6,13.81,46.62,39.874137878418,0.0867486223578453,0.0370198674499989,0.0750646591186523,0.0608481355011463,0.0369176119565964,0.0603170469403267,0.153072908520699,0.187040567398071,0.18073633313179,0.207511574029922,953.481140136719,1.57063710689545,37.2837600708008,89.9916229248047,0
"3208","3208",13.79,46.58,13.81,46.6,39.5348510742188,0.183812007308006,0.0819365233182907,0.0768604874610901,0.0686577782034874,0.0486116260290146,0.0914278998970985,0.248791575431824,0.3167964220047,0.26425164937973,0.343223482370377,986.427490234375,1.5705851316452,37.2147369384766,89.9931640625,0
"3209","3209",13.79,46.56,13.81,46.58,130.501327514648,0.185909539461136,0.0881600603461266,0.0904270112514496,0.088546559214592,0.0608352459967136,0.11026319116354,0.279323071241379,0.343675762414932,0.272084176540375,0.36978542804718,513.663513183594,1.57044494152069,37.2313423156738,89.9921798706055,0
"3210","3210",13.79,46.54,13.81,46.56,145.938186645508,0.108070060610771,0.0444752611219883,0.0757736191153526,0.0664920508861542,0.0383663028478622,0.0676152557134628,0.202189773321152,0.266839772462845,0.266988158226013,0.28180855512619,633.503479003906,1.57077717781067,36.9755363464355,89.9990234375,0
"3211","3211",13.79,46.52,13.81,46.54,158.857498168945,0.0900604575872421,0.0398453585803509,0.066003680229187,0.0506917163729668,0.028889050707221,0.0617126971483231,0.169519528746605,0.202588021755219,0.141794785857201,0.210852012038231,1395.78967285156,1.57075905799866,36.9763488769531,89.9990921020508,0
"3212","3212",13.79,46.5,13.81,46.52,171.520980834961,0.118789695203304,0.0505438111722469,0.0747169628739357,0.0706358551979065,0.045586358755827,0.0760204121470451,0.2191022336483,0.285106867551804,0.308796137571335,0.311086893081665,1304.71203613281,1.5707780122757,36.9771614074707,89.998893737793,0
"3213","3213",13.79,46.48,13.81,46.5,189.623153686523,0.142107024788857,0.0572290867567062,0.0729425624012947,0.063614048063755,0.0351192615926266,0.0693907961249352,0.228790998458862,0.294495403766632,0.326343208551407,0.330317139625549,943.347045898438,1.57065188884735,37.179874420166,89.9930801391602,0
"3214","3214",13.79,46.46,13.81,46.48,220.487976074219,0.118412964046001,0.0500141084194183,0.0729178562760353,0.0597205422818661,0.0359221175312996,0.062549464404583,0.168118417263031,0.215744242072105,0.18237616121769,0.236705794930458,1113.17297363281,1.57077729701996,36.9655151367188,89.9992828369141,0
