fid,OBJECTID_1,OBJECTID,CATEGORY,IFT_IOA,COUNTRY,Shape_Leng,Area_ha,Shape__Are,Shape__Len,x_coord,y_coord,satellite1,satellite2
"918","23286","47633",Woodland,Assumed woodland,Scotland,388.697287671,0.41332106595,4133.21057128906,388.697287674724,300990.130691,660499.137483,0.0048564444296062,-0.0202186163514853
"919","23291","47638",Woodland,Assumed woodland,Scotland,1538.4440554,1.86397955905,18639.7955932617,1538.44405539811,307757.875957,660372.3558,0.00552490912377834,-0.0193026047199965
"920","23292","47639",Woodland,Assumed woodland,Scotland,325.418514932,0.3906462408,3906.46238708496,325.418514933051,318189.394569,660519.813802,-0.0160089023411274,-0.0209096539765596
"921","23299","47646",Woodland,Assumed woodland,Scotland,956.902582533,2.01474751825,20147.4751281738,956.902582531869,307341.673886,660513.405464,-0.0637873560190201,-0.0436991006135941
"922","23300","47647",Woodland,Assumed woodland,Scotland,222.408030872,0.19617430175,1961.7430267334,222.408030871394,284988.146602,660656.779488,-0.034729890525341,-0.0312409661710262
"923","23301","47648",Woodland,Assumed woodland,Scotland,536.19522124,1.6972916995,16972.9169921875,536.195221242879,288097.879283,660592.508497,0.00936067663133144,0.0259487014263868
"924","23302","47649",Woodland,Assumed woodland,Scotland,656.311783025,1.71735480175,17173.5480041504,656.311783027941,318612.271886,660557.639388,-0.0181144922971725,0.00129305617883801
"925","23304","47651",Woodland,Assumed woodland,Scotland,293.97978019,0.3516888288,3516.88830566406,293.979780191167,285228.988164,660688.533184,-0.0151927275583148,-0.0366282649338245
"926","23305","47652",Woodland,Assumed woodland,Scotland,835.512653908,1.3036239304,13036.2393798828,835.51265390683,276203.923693,660671.987223,0.460946589708328,0.615367949008942
"927","23308","47655",Woodland,Assumed woodland,Scotland,409.24962675,0.5071889849,5071.88987731934,409.249626749507,291128.439484,660721.460251,-0.0946348756551743,-0.0587470419704914
"928","23309","47656",Woodland,Assumed woodland,Scotland,574.75273633,0.693017396499,6930.17391967773,574.752736331079,276394.592062,660760.453301,-0.0250020511448383,0.0118535533547401
"929","23310","47657",Woodland,Assumed woodland,Scotland,1400.66615005,2.51611156115,25161.1155548096,1400.66615004706,292415.793867,660694.172709,-0.00603246362879872,-0.0444364435970783
"930","23311","47658",Woodland,Assumed woodland,Scotland,611.623573104,1.2171966807,12171.9668426514,611.623573101762,277813.091998,660749.260154,0.0416415743529797,-0.00641117058694363
"931","23312","47659",Woodland,Assumed woodland,Scotland,428.013008107,0.6854257736,6854.25778198242,428.013008107182,290134.861224,660758.478835,-0.0251605901867151,-0.0301599688827991
"932","23313","47660",Woodland,Assumed woodland,Scotland,1067.86722538,4.5469793576,45469.7937011719,1067.86722537769,305658.184995,660737.100597,0.0836744159460068,0.00682447059080005
"933","23314","47661",Woodland,Assumed woodland,Scotland,485.544121772,1.31824795405,13182.4795532227,485.544121771456,276584.55175,660778.281844,-0.0526652224361897,-0.0240196269005537
"934","23315","47662",Woodland,Assumed woodland,Scotland,495.949757832,0.65081008905,6508.10092163086,495.949757833839,310039.901997,660823.46471,0.0324503257870674,-0.0143062500283122
"935","23316","47663",Woodland,Assumed woodland,Scotland,381.568531186,0.7828350849,7828.35083007813,381.568531185668,289946.675617,660827.431373,-0.0465364195406437,-0.0491694211959839
"936","23317","47664",Woodland,Assumed woodland,Scotland,1607.33992022,2.7890798141,27890.7982025146,1607.33992022092,301046.748538,660828.036442,0.131117388606071,0.100872963666916
"937","23319","47666",Woodland,Assumed woodland,Scotland,568.873266158,0.717853803,7178.53807067871,568.873266158457,285012.417258,660835.264312,-0.0245881229639053,-0.0544376522302628
"938","23320","47667",Woodland,Assumed woodland,Scotland,643.936307055,1.64405283285,16440.5283508301,643.936307056512,288155.481001,660862.143591,0.0041661337018013,0.0545558407902718
"939","23324","47671",Woodland,Assumed woodland,Scotland,1555.46682208,3.50137875625,35013.7875366211,1555.46682207913,306443.828376,660703.226677,-0.0481948554515839,-0.0527678169310093
"940","23326","47673",Woodland,Assumed woodland,Scotland,582.414718857,0.57966337935,5796.6337890625,582.414718856775,298584.301159,660952.352907,0.153181314468384,-0.0332319997251034
"941","23330","47677",Woodland,Assumed woodland,Scotland,779.976028332,1.0458818375,10458.8183135986,779.976028329938,310291.638164,661063.412586,-0.109739534556866,-0.0721074342727661
"942","23331","47678",Woodland,Assumed woodland,Scotland,1198.36903212,2.3440478429,23440.4782562256,1198.36903211727,308931.004355,660880.657946,-0.0183158684521914,-0.00121541926637292
"943","23333","47680",Woodland,Assumed woodland,Scotland,320.541412174,0.3731836886,3731.83683776855,320.541412173365,306163.689459,661111.040322,0.00243340968154371,-0.00888718478381634
"944","23339","47686",Woodland,Assumed woodland,Scotland,458.217996762,0.5971159768,5971.1597442627,458.217996761699,306958.35323,661175.989246,-0.0720073506236076,-0.059283833950758
"945","23341","47688",Woodland,Assumed woodland,Scotland,615.033679568,1.2954921129,12954.9212646484,615.033679568396,293975.711432,661112.870996,-0.0360979102551937,-0.0490920282900333
"946","23342","47689",Woodland,Assumed woodland,Scotland,607.37523681,0.8989172752,8989.1727142334,607.375236808594,298521.759056,661174.586274,0.027254480868578,0.0231637302786112
"947","23345","47692",Woodland,Assumed woodland,Scotland,1999.77270144,12.8786695543,128786.695617676,1999.77270143537,333429.558445,660941.815365,0.121074989438057,-0.00821367185562849
"948","23348","47695",Woodland,Assumed woodland,Scotland,483.942934595,0.68150138255,6815.01385498047,483.942934594792,307180.600967,661249.702114,-0.0487658903002739,-0.0648824423551559
"949","23353","47700",Woodland,Assumed woodland,Scotland,1430.35542033,3.69984294495,36998.4294586182,1430.35542033355,306596.846787,661142.39135,-0.0668911337852478,-0.0516564548015594
