fid,id,left,top,right,bottom,OC,VH_1,VV_1,VH_2,VV_2,VH_3,VV_3,VH_4,VV_4,VH_5,VV_5,BAND_11,BAND_12,BAND_2,BAND_3,BAND_4,BAND_5,BAND_6,BAND_7,BAND_8,BAND_8A,NDVI,EVI,SATVI,DEM_ELEV,DEM_CS,DEM_LSF,DEM_SLOPE,DEM_TWI
"135","135",13.05,46.16,13.09,46.2,55.8249473571777,0.00982609298080206,0.0920656993985176,0.00843914691358805,0.0538467019796371,0.0251984056085348,0.113049328327179,0.0236341841518879,0.0930118933320045,0.0162090491503477,0.0825839340686798,0.174375787377357,0.0974580273032188,0.0357007086277008,0.0565630681812763,0.0423308238387108,0.0787743628025055,0.264401704072952,0.356650769710541,0.357234954833984,0.368508666753769,-0.788115859031677,0.585992634296417,0.168324068188667,149.286499023438,1.57001924514771,39.0939598083496,89.9443130493164,0
"136","136",13.05,46.12,13.09,46.16,43.0362510681152,0.028586795553565,0.172729924321175,0.0240991525352001,0.171420067548752,0.0365170389413834,0.199583649635315,0.0320314094424248,0.147019892930984,0.0233975257724524,0.143301442265511,0.274340897798538,0.175890907645226,0.0502951666712761,0.0847063884139061,0.0807343721389771,0.134504541754723,0.300300002098083,0.346904546022415,0.365611910820007,0.387699991464615,-0.638243317604065,0.483563095331192,0.197804763913155,177.054428100586,1.57056450843811,37.2377662658691,89.9913864135742,0
"137","137",13.05,46.08,13.09,46.12,30.5796871185303,0.0230325683951378,0.0422136560082436,0.0167188346385956,0.0333763659000397,0.0313173905014992,0.128706052899361,0.0360730439424515,0.130688458681107,0.0109550468623638,0.0698821172118187,0.393215715885162,0.322776705026627,0.0801751464605331,0.130366191267967,0.166969031095505,0.219170808792114,0.292760998010635,0.314198851585388,0.327756524085999,0.339593052864075,-0.325003415346146,0.232586190104485,0.12863714993,118.436462402344,1.570268034935,37.6568984985352,89.9794158935547,0
"138","138",13.05,46.04,13.09,46.08,27.8465404510498,0.019613841548562,0.0960371643304825,0.0238063298165798,0.106394283473492,0.022172462195158,0.0860227048397064,0.0186525527387857,0.0671147182583809,0.0180426295846701,0.0846089348196983,0.167255327105522,0.0719380676746368,0.0289901979267597,0.0468808226287365,0.0286724418401718,0.0596582368016243,0.299886226654053,0.481563210487366,0.495193749666214,0.501646339893341,-0.890535235404968,0.804456949234009,0.19578891992569,87.9912338256836,1.56986224651337,38.274959564209,89.9577178955078,0
"139","139",13.05,46,13.09,46.04,25.9609889984131,0.0284201614558697,0.118507735431194,0.0326436348259449,0.189292877912521,0.0338090546429157,0.153129130601883,0.0286030806601048,0.135001942515373,0.0305511131882668,0.1192836612463,0.279039800167084,0.142802879214287,0.0415916666388512,0.0893888920545578,0.048205554485321,0.136575222015381,0.397028297185898,0.468102991580963,0.490711092948914,0.501070559024811,-0.821102023124695,0.753582179546356,0.276438146829605,62.0491714477539,1.56967175006866,40.4631805419922,89.9378356933594,0
"140","140",13.05,45.96,13.09,46,26.3736534118652,0.0165460426360369,0.120321691036224,0.0180915202945471,0.11651337146759,0.0256126169115305,0.129860997200012,0.0247785206884146,0.0993185117840767,0.0142894294112921,0.0786057412624359,0.241881668567657,0.132137924432755,0.0387328080832958,0.0687093883752823,0.0453993231058121,0.106286108493805,0.352518290281296,0.4691381752491,0.563390672206879,0.497281700372696,-0.85085391998291,0.838016092777252,0.239198252558708,38.8538665771484,1.57005202770233,38.1193809509277,89.9713592529297,0
"141","141",13.05,45.92,13.09,45.96,25.7206516265869,0.0243964251130819,0.0902663990855217,0.0265483744442463,0.124521523714066,0.0292956158518791,0.147141709923744,0.0295915864408016,0.100572437047958,0.026455270126462,0.106832832098007,0.195065394043922,0.0969028770923615,0.0337974466383457,0.0575312338769436,0.0387860350310802,0.0912420079112053,0.279392778873444,0.340866327285767,0.336454510688782,0.365072667598724,-0.793273746967316,0.56561291217804,0.204868137836456,24.0940971374512,1.56775784492493,38.3860664367676,89.9402847290039,-24.8401203155518
"142","142",13.05,45.88,13.09,45.92,24.4946365356445,0.0216636843979359,0.117545127868652,0.018984304741025,0.132643774151802,0.0313372872769833,0.178577020764351,0.028549712151289,0.119345791637897,0.0147213749587536,0.0719873756170273,0.213405609130859,0.122947841882706,0.0636499226093292,0.0874585583806038,0.077998198568821,0.0932446867227554,0.299070715904236,0.402701705694199,0.357766211032867,0.434308111667633,-0.642016649246216,0.518710970878601,0.148231849074364,11.6417665481567,1.56975388526917,39.4804916381836,89.9169692993164,0
"167","167",13.09,46.36,13.13,46.4,48.4610481262207,0.0413088984787464,0.163741961121559,0.0397676154971123,0.120511054992676,0.0438314937055111,0.143248736858368,0.0313210524618626,0.130276575684547,0.0351220555603504,0.127396583557129,0.183320105075836,0.088698722422123,0.0308482944965363,0.0506105124950409,0.0317529812455177,0.0865679681301117,0.283205211162567,0.337808728218079,0.348905384540558,0.364090412855148,-0.833168089389801,0.606149852275848,0.205128833651543,267.484466552734,1.57078278064728,37.007194519043,89.9983215332031,0
"168","168",13.09,46.32,13.13,46.36,49.7131690979004,0.0120195895433426,0.0340448170900345,0.0149501617997885,0.0476956814527512,0.014765533618629,0.0495612919330597,0.0157627537846565,0.0586431100964546,0.0150312101468444,0.052537377923727,0.19606725871563,0.0881665498018265,0.0308252852410078,0.0468328110873699,0.0283883530646563,0.0834950953722,0.308789283037186,0.383139699697495,0.390011370182037,0.416863441467285,-0.864300310611725,0.680176258087158,0.229799911379814,350.478302001953,1.57074248790741,37.0190887451172,89.9978103637695,0
"169","169",13.09,46.28,13.13,46.32,53.3469352722168,0.00888993870466948,0.116883993148804,0.0105269653722644,0.107026197016239,0.00953845307230949,0.106948420405388,0.00925067625939846,0.0738100782036781,0.0092730401083827,0.0659964978694916,0.416304558515549,0.331363648176193,0.258045434951782,0.287236362695694,0.321754544973373,0.338240921497345,0.339268177747726,0.345922738313675,0.343972742557526,0.354195475578308,-0.0333743244409561,0.0414778850972652,-0.0568822845816612,187.458999633789,1.56335198879242,43.4040184020996,89.8590545654297,-19.0807685852051
"170","170",13.09,46.24,13.13,46.28,55.3415298461914,0.00981681514531374,0.12585012614727,0.00734560936689377,0.0494700036942959,0.0157084800302982,0.0886364579200745,0.0204879678785801,0.120109550654888,0.0131617356091738,0.11944817751646,0.153178974986076,0.0667263492941856,0.0279977265745401,0.0420146323740482,0.0275980122387409,0.0578208789229393,0.278862982988358,0.437784433364868,0.443794310092926,0.458526849746704,-0.882908523082733,0.743526637554169,0.179345846176147,175.529159545898,1.56743919849396,41.9024276733398,89.9524154663086,0
"171","171",13.09,46.2,13.13,46.24,53.3889312744141,0.0393053814768791,0.176478698849678,0.035280529409647,0.171668887138367,0.045608177781105,0.200322091579437,0.0380485951900482,0.179224818944931,0.0422926880419254,0.178674146533012,0.213381037116051,0.0999683886766434,0.0297025572508574,0.0560552552342415,0.0280801150947809,0.100770875811577,0.351280033588409,0.425055295228958,0.458530098199844,0.455902904272079,-0.884588897228241,0.766338884830475,0.248536497354507,167.119766235352,1.57010698318481,38.2502670288086,89.9577484130859,0
"172","172",13.09,46.16,13.13,46.2,49.783275604248,0.0311241392046213,0.202090695500374,0.0298058539628983,0.168482035398483,0.0398231223225594,0.2416832447052,0.0401433818042278,0.201708450913429,0.0417421236634254,0.249465078115463,0.24262273311615,0.117495454847813,0.0345865078270435,0.0612495727837086,0.041271023452282,0.107440911233425,0.324563652276993,0.407563626766205,0.380493760108948,0.440881818532944,-0.804293632507324,0.619597971439362,0.254910171031952,163.564331054688,1.5703672170639,38.5000228881836,89.9521865844727,0
"173","173",13.09,46.12,13.13,46.16,35.7473754882813,0.0149100106209517,0.103961616754532,0.01882179453969,0.0851754918694496,0.023186506703496,0.0837361589074135,0.015827864408493,0.0764380991458893,0.0144572025164962,0.0659902542829514,0.173050493001938,0.0900107994675636,0.0281811077147722,0.045061931014061,0.0304609388113022,0.0708463788032532,0.267850071191788,0.40166050195694,0.42748636007309,0.427297383546829,-0.866967499256134,0.709534645080566,0.191950485110283,200.551712036133,1.57067596912384,37.2198257446289,89.9921035766602,0
"174","174",13.09,46.08,13.13,46.12,27.4784412384033,0.0127972001209855,0.0944159775972366,0.0129225729033351,0.0817751884460449,0.0233917348086834,0.120919965207577,0.0233549252152443,0.0973388031125069,0.0113585870712996,0.0574144273996353,0.332464069128036,0.272864401340485,0.0799289792776108,0.122233808040619,0.153539478778839,0.191719740629196,0.283028781414032,0.307547748088837,0.306550264358521,0.325736850500107,-0.332567274570465,0.234921276569366,0.104380942881107,116.667984008789,1.56844019889832,45.2383880615234,89.9253234863281,0
"175","175",13.09,46.04,13.13,46.08,25.2473735809326,0.016245910897851,0.119191437959671,0.0153796076774597,0.0716541558504105,0.0274062734097242,0.116884060204029,0.0150837078690529,0.0672063603997231,0.0134490914642811,0.0698537826538086,0.181481823325157,0.0833863615989685,0.0281571019440889,0.0405504256486893,0.027818750590086,0.0648909062147141,0.289909094572067,0.436572700738907,0.429144889116287,0.458313643932343,-0.878245234489441,0.724478662014008,0.212442263960838,87.3313369750977,1.5699280500412,39.1094856262207,89.9299697875977,0
"176","176",13.09,46,13.13,46.04,26.4591293334961,0.0288331862539053,0.17199669778347,0.0447554923593998,0.171746268868446,0.0350203104317188,0.189955517649651,0.0326033085584641,0.130906492471695,0.0276888012886047,0.136797249317169,0.198148339986801,0.0936615392565727,0.0319597609341145,0.0542606599628925,0.0308665186166763,0.0873010978102684,0.307424157857895,0.39972198009491,0.422273248434067,0.429154962301254,-0.863766014575958,0.715408205986023,0.22539022564888,60.6562881469727,1.56983530521393,38.1506500244141,89.9707183837891,0
