idx,n_estimators,max_features,fit_time,score_time,test_root_mean_squared_error,test_mean_absolute_error,test_r2_score
17.0,100.0,18.0,1.1895233631134032,0.012010765075683594,0.5332559555739519,0.2843619141550886,0.2795816284859019
18.0,100.0,19.0,1.2617477416992187,0.011810731887817384,0.5295336932399959,0.2804059322763901,0.2897168301470986
19.0,100.0,20.0,1.3214007377624513,0.012611579895019532,0.5289022567328466,0.279737597177098,0.29140447596700364
20.0,100.0,21.0,1.3709184646606445,0.012411165237426757,0.5317850954864335,0.2827953877815152,0.2834841481606435
21.0,100.0,22.0,1.4287689208984375,0.011410284042358398,0.5302087908981118,0.28112136194563764,0.287779372022519
22.0,100.0,23.0,1.4757611274719238,0.011810731887817384,0.5306038237462587,0.2815404177741508,0.2865900868001484
23.0,100.0,24.0,1.5156994342803956,0.011810684204101562,0.5298270613763355,0.28071671496668316,0.2887545871673319
24.0,100.0,25.0,1.5821826457977295,0.011810398101806641,0.5290816841251734,0.2799274284767298,0.2905648567842364
25.0,100.0,26.0,1.647772741317749,0.011410284042358398,0.5306193419349036,0.28155688603543017,0.2864452323124954
26.0,100.0,27.0,1.700695848464966,0.012811803817749023,0.5324280559686113,0.28347963478251464,0.2814935049320477
27.0,100.0,28.0,1.7882255554199218,0.01141042709350586,0.531349452125668,0.2823322402742476,0.2844089789727031
28.0,200.0,1.0,0.3699362754821777,0.019435358047485352,0.6070348780162563,0.36849134312821125,0.06726067265595477
29.0,200.0,2.0,0.508061408996582,0.022220420837402343,0.5804470044125808,0.33691872493153857,0.14721594132337254
30.0,200.0,3.0,0.6341765403747559,0.021619606018066406,0.5674250198648705,0.3219711531686487,0.18486052187823776
31.0,200.0,4.0,0.7997644424438477,0.02083139419555664,0.5591364499300896,0.3126335696404236,0.2084921190973862
32.0,200.0,5.0,0.9113955974578858,0.021219205856323243,0.5550091937441853,0.3080352051405707,0.2200087584267302
33.0,200.0,6.0,1.0473780155181884,0.02113065719604492,0.5487815770852954,0.30116121934822404,0.23733405106021171
34.0,200.0,7.0,1.1900073528289794,0.021828269958496092,0.5468873301214819,0.29908575184740277,0.2428613692239164
35.0,200.0,8.0,1.2498274326324463,0.022223615646362306,0.5452697236984889,0.2973190715822264,0.24695463154695715
36.0,200.0,9.0,1.3928693771362304,0.021756076812744142,0.5386773591745349,0.29017329728725083,0.26510852008595354
37.0,200.0,10.0,1.5339247703552246,0.022420644760131836,0.5386903831723056,0.2901873289223254,0.26496546912438523
38.0,200.0,11.0,1.7032845973968507,0.02182040214538574,0.5364778299986117,0.2878084620800193,0.27104459621063126
39.0,200.0,12.0,1.8394714832305907,0.023421382904052733,0.5358934563883105,0.2871817965998101,0.27248498946875743
40.0,200.0,13.0,1.923358154296875,0.022220373153686523,0.5334740063193529,0.28459451541842096,0.27913847028368616
41.0,200.0,14.0,2.045707654953003,0.02282094955444336,0.533110132251586,0.28420641310930356,0.28017705874370114
42.0,200.0,15.0,2.0979544639587404,0.021819543838500977,0.5311799008134505,0.2821520870281871,0.28522411395558256
43.0,200.0,16.0,2.2110808849334718,0.02362213134765625,0.5320616715664843,0.2830896223501214,0.282780906665347
44.0,200.0,17.0,2.320806884765625,0.022820711135864258,0.5308835285371972,0.2818373208721051,0.28578617542063134
45.0,200.0,18.0,2.4570903301239015,0.022420740127563475,0.5311086671649837,0.2820764163377655,0.28542539596195093
46.0,200.0,19.0,2.632032012939453,0.023835277557373045,0.5296243831026778,0.28050198717689195,0.2892787831693527
47.0,200.0,20.0,2.7529749393463137,0.022783374786376952,0.5298822407265135,0.28077518903735077,0.28855254853238177
48.0,200.0,21.0,2.840780830383301,0.023221302032470702,0.5276867847076676,0.2784533427551163,0.2943570780305079
49.0,200.0,22.0,2.95983304977417,0.02412443161010742,0.5281554874022207,0.2789482188730773,0.29309875292920057
50.0,200.0,23.0,3.0703400135040284,0.023221206665039063,0.5289934509592286,0.2798340711577537,0.29097120610992067
51.0,200.0,24.0,3.1215413570404054,0.02222023010253906,0.5297713071244204,0.280657637852317,0.288701831089533
52.0,200.0,25.0,3.1694879055023195,0.022353601455688477,0.5301893164900768,0.28110071132021486,0.2876602926347559
53.0,200.0,26.0,3.2949009418487547,0.02201991081237793,0.5303257361639141,0.28124538643779745,0.2872818565020362
54.0,200.0,27.0,3.420155334472656,0.022836875915527344,0.5307585588896016,0.28170464783456667,0.28604784077054546
55.0,200.0,28.0,3.513703155517578,0.022620677947998047,0.5298222237330856,0.28071158876147184,0.2886303648230309
56.0,300.0,1.0,0.5509565353393555,0.03053126335144043,0.6084899230850485,0.3702599864960482,0.06252661259081074
57.0,300.0,2.0,0.7520183086395263,0.03076777458190918,0.58152639918288,0.33817295294660626,0.1439295642538906
58.0,300.0,3.0,0.9662090301513672,0.03200125694274902,0.5699467088694645,0.32483925095113414,0.17758262994278248
59.0,300.0,4.0,1.1430365562438964,0.03115243911743164,0.5603107915718002,0.3139481831518173,0.20497342481869318
60.0,300.0,5.0,1.3105489253997802,0.03343048095703125,0.5545307825086987,0.30750438874970965,0.22147933605414058
61.0,300.0,6.0,1.5171826362609864,0.03122844696044922,0.5507372147482046,0.30331147970861005,0.23197818280809762
62.0,300.0,7.0,1.6662236213684083,0.031228351593017577,0.5460756626719616,0.298198629362622,0.2448236845083743
63.0,300.0,8.0,1.8533147811889648,0.03343048095703125,0.5436081576885682,0.2955098291055592,0.2515591378751661
64.0,300.0,9.0,2.047711706161499,0.03503236770629883,0.5383732458083782,0.28984575180224836,0.26597659116306527
65.0,300.0,10.0,2.2303393840789796,0.035031795501708984,0.5375828193337412,0.2889952876428138,0.26801545740985633
66.0,300.0,11.0,2.3981690406799316,0.03242955207824707,0.5373887307579385,0.28878664794562814,0.26859665936748295
67.0,300.0,12.0,2.5377363681793215,0.035031795501708984,0.5348718977783078,0.2860879470329686,0.2753451920683125
68.0,300.0,13.0,2.736901617050171,0.03203005790710449,0.5342581183789942,0.2854317370538633,0.2770783118331615
69.0,300.0,14.0,2.8946940898895264,0.0320244312286377,0.5322087099768618,0.28324611097523533,0.2825473880796611
70.0,300.0,15.0,3.0708200931549072,0.03280730247497558,0.532359890807762,0.2834070533408523,0.2821119631761306
71.0,300.0,16.0,3.249635362625122,0.032029151916503906,0.5319754449798089,0.2829978740614657,0.2830440129760675
72.0,300.0,17.0,3.4230583190917967,0.0327974796295166,0.5302780493727923,0.2811948096466136,0.2876168352558971
73.0,300.0,18.0,3.6034892559051515,0.03262968063354492,0.5288151387596332,0.2796454509813701,0.29138470718449916
74.0,300.0,19.0,3.801489496231079,0.03320603370666504,0.5294078587359532,0.28027268089138696,0.28992754550511746
75.0,300.0,20.0,3.948154640197754,0.03224415779113769,0.5288165094283347,0.279646900643968,0.29135609496585074
76.0,300.0,21.0,4.122653770446777,0.03563251495361328,0.5288968533752976,0.27973188151029105,0.29109551867496153
77.0,300.0,22.0,4.271780061721802,0.032830810546875,0.530167710647273,0.28107780141297056,0.2877834705767561
78.0,300.0,23.0,4.475258207321167,0.0332303524017334,0.5290147163621131,0.27985657012768694,0.29088008910969937
79.0,300.0,24.0,4.603747701644897,0.033403635025024414,0.527388542424822,0.2781386746809783,0.2951422645105638
80.0,300.0,25.0,4.808021116256714,0.03360805511474609,0.5284856206938993,0.2792970512802159,0.2922856722679327
81.0,300.0,26.0,4.906608295440674,0.03365998268127442,0.5285193119899562,0.27933266314633665,0.29209278276778583
82.0,300.0,27.0,5.1949068069458,0.03363056182861328,0.5301873908351395,0.28109866940057304,0.28760557598073366
83.0,300.0,28.0,5.27155613899231,0.034195232391357425,0.5285284781192592,0.27934235218306025,0.2920527241403899
84.0,400.0,1.0,0.7034835815429688,0.03920793533325195,0.6065616627923149,0.367917050769378,0.06844874501485625
85.0,400.0,2.0,1.0653810501098633,0.04002556800842285,0.5828285463031491,0.33968911438584193,0.13995135467093273
86.0,400.0,3.0,1.2769493103027343,0.04741935729980469,0.5695661119890695,0.3244055559263452,0.1786807667846794
87.0,400.0,4.0,1.5267651081085205,0.04183783531188965,0.5614469633443971,0.3152226926486449,0.20182115004962498
