idx,lr,layers,neurons,max_iter,fit_time,score_time,test_root_mean_squared_error,test_mean_absolute_error,test_r2_score
31.0,0.01,5.0,20.0,1000.0,0.16212735176086426,0.0010007381439208984,0.5919800830435474,0.35044041872024534,0.11252437397329074
32.0,0.01,5.0,50.0,100.0,0.20458483695983887,0.0008005619049072266,0.666854732530786,0.44469523429870605,-0.1294901218406559
33.0,0.01,5.0,50.0,200.0,0.23532547950744628,0.0009980201721191406,0.6013053393919425,0.36156811118125914,0.0856480536975043
34.0,0.01,5.0,50.0,500.0,0.22076807022094727,0.0008007049560546875,0.6137857682319277,0.37673296928405764,0.043641927474146656
35.0,0.01,5.0,50.0,1000.0,0.16938199996948242,0.0008008956909179687,0.5724422507748561,0.3276901304721832,0.16907880870632855
36.0,0.01,5.0,100.0,100.0,0.32009024620056153,0.0016015052795410156,0.6096156403208481,0.37163122892379763,0.05912834074017206
37.0,0.01,5.0,100.0,200.0,0.46449594497680663,0.001601409912109375,0.6233374034864305,0.3885495185852051,0.014151605188879545
38.0,0.01,5.0,100.0,500.0,0.37614097595214846,0.001601266860961914,0.6126250820506224,0.37530949115753176,0.04478617001618721
39.0,0.01,5.0,100.0,1000.0,0.3431111812591553,0.002001953125,0.5960892773381693,0.35532242655754087,0.0988989828757804
40.0,0.01,7.0,5.0,100.0,0.21899814605712892,0.00040035247802734376,0.5816239845862217,0.33828645944595337,0.1422770864435481
41.0,0.01,7.0,5.0,200.0,0.13272018432617189,0.00040035247802734376,0.6187936671097557,0.38290560245513916,0.02977332309882552
42.0,0.01,7.0,5.0,500.0,0.22160043716430664,0.001000833511352539,0.8261971832799904,0.68260178565979,-0.7284542475527405
43.0,0.01,7.0,5.0,1000.0,0.1405271530151367,0.0008007526397705078,0.5670718734624077,0.32157050967216494,0.18367902591214796
44.0,0.01,7.0,10.0,100.0,0.22980809211730957,0.0010010719299316407,0.5834121401096792,0.340369725227356,0.1376407568657035
45.0,0.01,7.0,10.0,200.0,0.23941607475280763,0.0006006240844726562,0.5730529680818759,0.3283897042274475,0.1678342141879044
46.0,0.01,7.0,10.0,500.0,0.22080025672912598,0.0008009433746337891,0.5757912312733331,0.331535542011261,0.1599139644391961
47.0,0.01,7.0,10.0,1000.0,0.1909731388092041,0.0008006095886230469,0.566314963515274,0.32071263790130616,0.18732139506982412
48.0,0.01,7.0,20.0,100.0,0.2059856414794922,0.0008009433746337891,0.5868322991466141,0.34437214732170107,0.12820641839167393
49.0,0.01,7.0,20.0,200.0,0.1757589340209961,0.000600433349609375,0.6151328496573605,0.37838842272758483,0.04006663299195423
50.0,0.01,7.0,20.0,500.0,0.17155494689941406,0.0006004810333251953,0.5744720523102043,0.330018138885498,0.16288345587552547
51.0,0.01,7.0,20.0,1000.0,0.18072080612182617,0.000579833984375,0.6088851818563954,0.37074116468429563,0.060960974337538575
