idx,n_components,max_iter,scale,fit_time,score_time,test_root_mean_squared_error,test_mean_absolute_error,test_r2_score
75,10,100,False,0.0028026580810546877,0.00040001869201660155,0.8164147467454466,0.6665330387034316,-0.6868194562170773
76,10,500,True,0.003002500534057617,0.00020022392272949218,0.5938230911880648,0.35262586362814863,0.10963679536308499
77,10,500,False,0.0028023719787597656,0.000600433349609375,0.8164147467454466,0.6665330387034316,-0.6868194562170773
78,10,1000,True,0.0032029151916503906,0.000400543212890625,0.5938230911880648,0.35262586362814863,0.10963679536308499
79,10,1000,False,0.0032022953033447265,0.00040044784545898435,0.8164147467454466,0.6665330387034316,-0.6868194562170773
80,11,50,True,0.003402233123779297,0.00040044784545898435,0.612033867763435,0.3745854552894699,0.055829418061033566
81,11,50,False,0.0030030727386474608,0.0008005142211914062,0.5679467193087566,0.32256347597357954,0.18301800885211686
82,11,100,True,0.004402971267700196,0.0006010055541992188,0.612033867763435,0.3745854552894699,0.055829418061033566
83,11,100,False,0.003202390670776367,0.0008008003234863282,0.5679467193087566,0.32256347597357954,0.18301800885211686
84,11,500,True,0.003201866149902344,0.0006005287170410157,0.612033867763435,0.3745854552894699,0.055829418061033566
85,11,500,False,0.0030025482177734376,0.0002002716064453125,0.5679467193087566,0.32256347597357954,0.18301800885211686
86,11,1000,True,0.0032031059265136717,0.0006003856658935546,0.612033867763435,0.3745854552894699,0.055829418061033566
87,11,1000,False,0.003002166748046875,0.0004000663757324219,0.5679467193087566,0.32256347597357954,0.18301800885211686
88,12,50,True,0.003603219985961914,0.0006006717681884766,0.6029278387048123,0.3635219786852561,0.08225385185752483
89,12,50,False,0.0030030250549316407,0.0006005764007568359,0.743321232239164,0.5525264542975492,-0.37747099678549767
90,12,100,True,0.0036099433898925783,0.0003970146179199219,0.6029278387048123,0.3635219786852561,0.08225385185752483
91,12,100,False,0.003201198577880859,0.0006005287170410157,0.743321232239164,0.5525264542975492,-0.37747099678549767
92,12,500,True,0.003402376174926758,0.0006003379821777344,0.6029278387048123,0.3635219786852561,0.08225385185752483
93,12,500,False,0.003403377532958984,0.0004001140594482422,0.743321232239164,0.5525264542975492,-0.37747099678549767
94,12,1000,True,0.003402566909790039,0.0006009101867675781,0.6029278387048123,0.3635219786852561,0.08225385185752483
95,12,1000,False,0.003402996063232422,0.000400543212890625,0.743321232239164,0.5525264542975492,-0.37747099678549767
96,13,50,True,0.003803443908691406,0.0004000663757324219,0.6733854241715207,0.4534479294866589,-0.13884568944601566
97,13,50,False,0.003603696823120117,0.0004000663757324219,0.6519993554464062,0.4251031595025291,-0.07646485806350736
98,13,100,True,0.0042041301727294925,0.0004004955291748047,0.6733854241715207,0.4534479294866589,-0.13884568944601566
99,13,100,False,0.0036036491394042967,0.00040035247802734376,0.6519993554464062,0.4251031595025291,-0.07646485806350736
100,13,500,True,0.003803062438964844,0.00039997100830078123,0.6733854241715207,0.4534479294866589,-0.13884568944601566
101,13,500,False,0.0032030582427978516,0.0006005287170410157,0.6519993554464062,0.4251031595025291,-0.07646485806350736
102,13,1000,True,0.004404115676879883,0.00040035247802734376,0.6733854241715207,0.4534479294866589,-0.13884568944601566
103,13,1000,False,0.0034035205841064452,0.000600433349609375,0.6519993554464062,0.4251031595025291,-0.07646485806350736
104,14,50,True,0.0038037776947021486,0.0004000663757324219,0.6663859550798595,0.44407024112769655,-0.11703998563367161
105,14,50,False,0.0036034584045410156,0.0004002094268798828,0.7864953337903793,0.6185749100740401,-0.564352573847704
106,14,100,True,0.004604339599609375,0.0,0.6663859550798595,0.44407024112769655,-0.11703998563367161
107,14,100,False,0.0040034294128417965,0.00019998550415039061,0.7864953337903793,0.6185749100740401,-0.564352573847704
108,14,500,True,0.0038033485412597655,0.0006004810333251953,0.6663859550798595,0.44407024112769655,-0.11703998563367161
109,14,500,False,0.004203653335571289,0.00040001869201660155,0.7864953337903793,0.6185749100740401,-0.564352573847704
110,14,1000,True,0.004203414916992188,0.0010009765625,0.6663859550798595,0.44407024112769655,-0.11703998563367161
111,14,1000,False,0.0036037921905517577,0.0006008625030517578,0.7864953337903793,0.6185749100740401,-0.564352573847704
112,15,50,True,0.0038041591644287108,0.0006007194519042969,0.6353755280542908,0.4037020616502688,-0.01610718128929507
113,15,50,False,0.003803110122680664,0.0004002571105957031,0.6118074868154779,0.37430840092347123,0.05507974976080745
114,15,100,True,0.004002189636230469,0.0006003856658935546,0.6353755280542908,0.4037020616502688,-0.01610718128929507
115,15,100,False,0.0036031246185302735,0.0004004001617431641,0.6118074868154779,0.37430840092347123,0.05507974976080745
116,15,500,True,0.00400385856628418,0.0003997802734375,0.6353755280542908,0.4037020616502688,-0.01610718128929507
117,15,500,False,0.003803110122680664,0.0006005287170410157,0.6118074868154779,0.37430840092347123,0.05507974976080745
118,15,1000,True,0.004404497146606445,0.00020012855529785156,0.6353755280542908,0.4037020616502688,-0.01610718128929507
119,15,1000,False,0.004804134368896484,0.00040035247802734376,0.6118074868154779,0.37430840092347123,0.05507974976080745
120,16,50,True,0.004203605651855469,0.00040044784545898435,0.5969656232733535,0.3563679553701434,0.10136283782764058
121,16,50,False,0.0038040637969970702,0.0006003379821777344,0.7061453400075344,0.49864124121435627,-0.2546346256177399
122,16,100,True,0.004403829574584961,0.00040044784545898435,0.5969656232733535,0.3563679553701434,0.10136283782764058
123,16,100,False,0.004203414916992188,0.0006005764007568359,0.7061453400075344,0.49864124121435627,-0.2546346256177399
124,16,500,True,0.004004335403442383,0.0006000995635986328,0.5969656232733535,0.3563679553701434,0.10136283782764058
125,16,500,False,0.004003143310546875,0.0008009433746337891,0.7061453400075344,0.49864124121435627,-0.2546346256177399
126,16,1000,True,0.004803752899169922,0.0008008480072021484,0.5969656232733535,0.3563679553701434,0.10136283782764058
127,16,1000,False,0.0042038440704345705,0.0004002571105957031,0.7061453400075344,0.49864124121435627,-0.2546346256177399
128,17,50,True,0.004403448104858399,0.00019998550415039061,0.5837523964484646,0.34076686035932535,0.13905317602268535
129,17,50,False,0.003803730010986328,0.0008001327514648438,0.7000040252586238,0.49000563537827607,-0.23551832468331774
130,17,100,True,0.0044037818908691405,0.0006006240844726562,0.5837523964484646,0.34076686035932535,0.13905317602268535
131,17,100,False,0.005004310607910156,0.0006005764007568359,0.7000040252586238,0.49000563537827607,-0.23551832468331774
